hostname,ip,fabric,site,hall,vendor,model,role,tag,credential
SSW-ES-H4-RZDV64-YUPAY-N01,10.65.1.201,wallet,venus,hall-4,cisco,nx-os,spine,do-not-search,wallet
SSW-ES-H4-RZDW60-YUPAY-N02,10.65.1.202,wallet,venus,hall-4,cisco,nx-os,spine,do-not-search,wallet
LSW-ES-H4-RZDX64-YUPAY-N01,10.65.1.1,wallet,venus,hall-4,cisco,nx-os,leaf,do-not-search,wallet
LSW-ES-H4-RZDX64-YUPAY-N02,10.65.1.2,wallet,venus,hall-4,cisco,nx-os,leaf,do-not-search,wallet
WANRTR-ES-H4-RZDV64-YUPAY-N01,10.65.0.21,wallet,venus,hall-4,arista,eos,wan-router,do-not-search,wallet
WANRTR-ES-H4-RZDW60-YUPAY-N02,10.65.0.22,wallet,venus,hall-4,arista,eos,wan-router,do-not-search,wallet
WANEDGE-ES-H4-RZDV64-YUPAY-N01,10.65.0.242,wallet,venus,hall-4,cisco,nx-os,wan-edge,do-not-search,wallet
WANEDGE-ES-H4-RZDW60-YUPAY-N02,10.65.0.243,wallet,venus,hall-4,cisco,nx-os,wan-edge,do-not-search,wallet
DCIRTR-ES-H4-RZDV64-YUPAY-N01,10.65.0.35,wallet,venus,hall-4,cisco,nx-os,dci-router,do-not-search,wallet
DCIRTR-ES-H4-RZDW60-YUPAY-N02,10.65.0.36,wallet,venus,hall-4,cisco,nx-os,dci-router,do-not-search,wallet
BLSW-ES-H4-RZDV64-YUPAY-N01,10.65.1.98,wallet,venus,hall-4,cisco,nx-os,border-leaf,do-not-search,wallet
BLSW-ES-H4-RZDW60-YUPAY-N02,10.65.1.99,wallet,venus,hall-4,cisco,nx-os,border-leaf,do-not-search,wallet
WANEDGE-AV-SOL-R1215-YUPAY-N01,10.64.0.242,wallet,mercury,hall-2,arista,eos,wan-edge,do-not-search,wallet
WANEDGE-AV-SOL-R1112-YUPAY-N02,10.64.0.243,wallet,mercury,hall-2,arista,eos,wan-edge,do-not-search,wallet
DCI-AV-SOL-R1215-YUPAY-N01,10.64.0.35,wallet,mercury,hall-2,cisco,nx-os,dci-router,do-not-search,wallet
DCI-AV-SOL-R1112-YUPAY-N02,10.64.0.36,wallet,mercury,hall-2,cisco,nx-os,dci-router,do-not-search,wallet
BLSW-AV-SOL-R1215-YUPAY-N01,10.64.1.98,wallet,mercury,hall-2,arista,eos,border-leaf,do-not-search,wallet
BLSW-AV-SOL-R1112-YUPAY-N02,10.64.1.99,wallet,mercury,hall-2,arista,eos,border-leaf,do-not-search,wallet
SSW-AV-SOL-R1215-YUPAY-N01,10.64.1.201,wallet,mercury,hall-2,arista,eos,spine,do-not-search,wallet
SSW-AV-SOL-R1112-YUPAY-N02,10.64.1.202,wallet,mercury,hall-2,arista,eos,spine,do-not-search,wallet
LSW-AV-SOL-R1213-YUPAY-N01,10.64.1.1,wallet,mercury,hall-2,arista,eos,leaf,do-not-search,wallet
LSW-AV-SOL-R1213-YUPAY-N02,10.64.1.2,wallet,mercury,hall-2,arista,eos,leaf,do-not-search,wallet
WANEDGESW-IL2-H9-R802-WED-N01,10.42.0.242,tgo,mars,hall-9,arista,eos,wan-edge,do-not-search,tgo
WANEDGESW-IL2-H9-R702-WED-N02,10.42.0.243,tgo,mars,hall-9,arista,eos,wan-edge,do-not-search,tgo
WANEDGESW-ES-H14-R2EV46-WED-N01,10.86.0.242,tgo,venus,hall-14,arista,eos,wan-edge,do-not-search,tgo
WANEDGESW-ES-H14-R2EY47-WED-N02,10.86.0.243,tgo,venus,hall-14,arista,eos,wan-edge,do-not-search,tgo
SSW-IL2-H9-R802-TGO-N01,10.42.1.201,tgo,mars,hall-9,arista,eos,spine,do-not-search,tgo
SSW-IL2-H9-R702-TGO-N02,10.42.1.202,tgo,mars,hall-9,arista,eos,spine,do-not-search,tgo
LSW-IL2-H9-R805-TGO-N21,10.42.1.21,tgo,mars,hall-9,arista,eos,leaf,do-not-search,tgo
LSW-IL2-H9-R805-TGO-N22,10.42.1.22,tgo,mars,hall-9,arista,eos,leaf,do-not-search,tgo
SSW-ES-H14-R2EV46-TGO-N01,10.86.1.201,tgo,venus,hall-14,cisco,nx-os,spine,do-not-search,tgo
SSW-ES-H14-R2EY47-TGO-N02,10.86.1.202,tgo,venus,hall-14,cisco,nx-os,spine,do-not-search,tgo
LSW-ES-H14-R2EV48-TGO-N01,10.86.1.1,tgo,venus,hall-14,cisco,nx-os,leaf,leaf-search,tgo
LSW-ES-H14-R2EV48-TGO-N02,10.86.1.2,tgo,venus,hall-14,cisco,nx-os,leaf,do-not-search,tgo
BGSW-ES-H9-RBCG67-TYC-P1-N01,10.34.13.221,tyc,venus,hall-9,cisco,nx-os,border-gateway,do-not-search,tyc
BGSW-ES-H9-RBCI68-TYC-P1-N02,10.34.13.222,tyc,venus,hall-9,cisco,nx-os,border-gateway,do-not-search,tyc
LSW-ES-H9-RBBU52-TYC-P1-N01,10.34.13.1,tyc,venus,hall-9,cisco,nx-os,leaf,leaf-search,tyc
LSW-ES-H9-RBBU52-TYC-P1-N02,10.34.13.2,tyc,venus,hall-9,cisco,nx-os,leaf,do-not-search,tyc
WANEDGESW-IL2X-H2-R217-WED-P0-N01,10.32.0.242,tyc,mars,hall-2,arista,eos,wan-edge,do-not-search,tyc
WANEDGESW-IL2-H2-R117-WED-P0-N02,10.32.0.243,tyc,mars,hall-2,arista,eos,wan-edge,do-not-search,tyc
SSW-ESX-H9-RBBU64-TYC-P1-N01,10.34.13.201,tyc,venus,hall-9,cisco,nx-os,spine,do-not-search,tyc
SSW-ES-H9-RBBW66-TYC-P1-N02,10.34.13.202,tyc,venus,hall-9,cisco,nx-os,spine,do-not-search,tyc
SSW-ES-H9-RBCU64-TYC-P1-N03,10.34.13.203,tyc,venus,hall-9,cisco,nx-os,spine,do-not-search,tyc
SSW-ES-H9-RBCW66-TYC-P1-N04,10.34.13.204,tyc,venus,hall-9,cisco,nx-os,spine,do-not-search,tyc
SSW-IL2-H6-R202-TYC-P1-N01,10.32.22.201,tyc,mars,hall-6,arista,eos,spine,do-not-search,tyc
SSW-IL2-H6-R202-TYC-P2-N03,10.32.22.203,tyc,mars,hall-6,arista,eos,spine,do-not-search,tyc
SSW-IL2-H6-R302-TYC-P1-N02,10.32.22.202,tyc,mars,hall-6,arista,eos,spine,do-not-search,tyc
SSW-IL2-H6-R302-TYC-P2-N04,10.32.22.204,tyc,mars,hall-6,arista,eos,spine,do-not-search,tyc
LSW-ES-H9-RBBU54-TYC-P1-N03,10.34.13.3,tyc,venus,hall-9,cisco,nx-os,leaf,do-not-search,tyc
LSW-ES-H9-RBBU54-TYC-P1-N04,10.34.13.4,tyc,venus,hall-9,cisco,nx-os,leaf,do-not-search,tyc
LSW-ES-H9-RBBU55-TYC-P1-N05,10.34.13.5,tyc,venus,hall-9,cisco,nx-os,leaf,do-not-search,tyc
LSW-ES-H9-RBBU55-TYC-P1-N06,10.34.13.6,tyc,venus,hall-9,cisco,nx-os,leaf,do-not-search,tyc
LSW-ES-H9-RBBU56-TYC-P1-N07,10.34.13.7,tyc,venus,hall-9,cisco,nx-os,leaf,do-not-search,tyc
LSW-ES-H9-RBBU56-TYC-P1-N08,10.34.13.8,tyc,venus,hall-9,cisco,nx-os,leaf,do-not-search,tyc
